"AllocatedGB","College","UsageGB","X_time","source","sourcetype"
1750,"CBGL",128,"2021-10-22T07:20:51.000+0000","http:research_data","httpevent"
1750,"CBGL",128,"2021-10-21T07:23:44.000+0000","http:research_data","httpevent"
1750,"CBGL",128,"2021-10-20T09:57:06.000+0000","http:research_data","httpevent"
1750,"CBGL",128,"2021-10-15T07:20:45.000+0000","http:research_data","httpevent"
1750,"CBGL",128,"2021-10-14T12:20:34.000+0000","http:research_data","httpevent"
0,"CBGL",0,"2021-10-13T13:25:54.000+0000","http:research_data","httpevent"
1750,"CBGL",128,"2021-10-13T11:26:34.000+0000","http:research_data","httpevent"
1750,"CBGL",128,"2021-10-11T07:21:17.000+0000","http:research_data","httpevent"
1750,"CBGL",128,"2021-10-10T07:21:27.000+0000","http:research_data","httpevent"
1750,"CBGL",128,"2021-10-09T07:23:04.000+0000","http:research_data","httpevent"
1750,"CBGL",128,"2021-10-08T07:21:16.000+0000","http:research_data","httpevent"
1750,"CBGL",128,"2021-10-07T07:22:43.000+0000","http:research_data","httpevent"
1750,"CBGL",128,"2021-10-06T07:20:41.000+0000","http:research_data","httpevent"
1700,"CBGL",128,"2021-10-05T07:23:59.000+0000","http:research_data","httpevent"
1700,"CBGL",128,"2021-10-04T07:21:18.000+0000","http:research_data","httpevent"
1700,"CBGL",128,"2021-10-03T07:20:34.000+0000","http:research_data","httpevent"
1700,"CBGL",128,"2021-10-02T07:24:49.000+0000","http:research_data","httpevent"
1700,"CBGL",128,"2021-10-01T07:21:14.000+0000","http:research_data","httpevent"
1700,"CBGL",128,"2021-09-30T07:22:03.000+0000","http:research_data","httpevent"
1700,"CBGL",128,"2021-09-29T07:21:12.000+0000","http:research_data","httpevent"
1700,"CBGL",128,"2021-09-28T07:22:35.000+0000","http:research_data","httpevent"
1700,"CBGL",128,"2021-09-27T07:19:51.000+0000","http:research_data","httpevent"
1700,"CBGL",128,"2021-09-26T07:22:53.000+0000","http:research_data","httpevent"
1700,"CBGL",128,"2021-09-25T07:24:11.000+0000","http:research_data","httpevent"
1700,"CBGL",128,"2021-09-24T07:23:27.000+0000","http:research_data","httpevent"
1700,"CBGL",128,"2021-09-23T07:24:30.000+0000","http:research_data","httpevent"
1700,"CBGL",128,"2021-09-22T07:22:11.000+0000","http:research_data","httpevent"
1700,"CBGL",128,"2021-09-21T07:23:49.000+0000","http:research_data","httpevent"
1700,"CBGL",128,"2021-09-20T07:22:07.000+0000","http:research_data","httpevent"
